task_id,activity,delay_ratio,betweenness,impact_count,critical_probability,predicted_impact,risk_category,resource_area
1020120034,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,Marketing
1020120034,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,Marketing
1020120040,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,HR
1020120040,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,Operations
1020120041,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001256,0.0,0,0.0,0.0,,Marketing
1020120041,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001256,0.0,0,0.0,0.0,,Sales
1020120042,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000876,0.0,0,0.0,0.0,,HR
1020120042,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000876,0.0,0,0.0,0.0,,Engineering
1020120042,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000876,0.0,0,0.0,0.0,,Marketing
1020120043,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000993,0.0,0,0.0,0.0,,IT
1020120043,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000993,0.0,0,0.0,0.0,,Customer Support
1020120043,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000993,0.0,0,0.0,0.0,,Operations
1020120043,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000993,0.0,0,0.0,0.0,,Engineering
1020120043,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000993,0.0,0,0.0,0.0,,Operations
1020120033,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,Marketing
1020120033,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,HR
1020120035,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000869,0.0,0,0.0,0.0,,Sales
1020120035,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000869,0.0,0,0.0,0.0,,IT
1020120035,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000869,0.0,0,0.0,0.0,,Customer Support
1020120035,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000869,0.0,0,0.0,0.0,,Operations
1020120035,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.000869,0.0,0,0.0,0.0,,Operations
1020120036,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001655,0.0,0,0.0,0.0,,Operations
1020120036,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001655,0.0,0,0.0,0.0,,HR
1020120037,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,Customer Support
1020120037,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,Operations
1020120037,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001043,0.0,0,0.0,0.0,,Sales
1020120038,HUANUCO - Mi Chacra Emprend. (Haku Wiñay) 2012 - FPI,0.001738,0.0,0,0.0,0.0,,Marketing
